LME,LME_NUMBER,N,MIN,MAX,MEAN
BALTIC_SEA,23,16,1.674,2.382938623,1.958
NORTH_BRAZIL_SHELF,17,16,1.557,1.818054914,1.65
YELLOW_SEA,48,16,1.473,1.967101693,1.641
GULF_OF_CALIFORNIA,4,16,1.126,1.579950809,1.33
BLACK_SEA,62,16,1.118,1.569380999,1.279
NORTH_AUSTRALIAN_SHELF,39,16,1.116,1.389207482,1.256
ARABIAN_SEA,32,16,1.008,1.41694212,1.2
EAST_CHINA_SEA,47,16,1.004,1.267974854,1.127
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,16,0.8611,1.334403276,1.081
GULF_OF_THAILAND,35,16,0.9743,1.134972095,1.057
GUINEA_CURRENT,28,16,0.9454,1.120153427,1.037
INDONESIAN_SEA,38,16,0.8734,1.114043355,1.005
BENGUELA_CURRENT,29,16,0.9101,1.088511109,0.9891
NORTHEAST_US_CONTINENTAL_SHELF,7,16,0.8547,1.039560199,0.964
PATAGONIAN_SHELF,14,16,0.8197,1.015209675,0.9275
BAY_OF_BENGAL,34,16,0.7642,1.114360332,0.881
RED_SEA,33,16,0.7542,0.952640235,0.8713
LAPTEV_SEA,57,16,0.5039,1.27789247,0.861
NORTH_SEA,22,16,0.7398,1.038852215,0.8586
CANARY_CURRENT,27,16,0.7287,0.939904332,0.8571
SCOTIAN_SHELF,8,16,0.745,0.899883211,0.8164
KARA_SEA,58,16,0.583,1.43097496,0.8164
SEA_OF_OKHOTSK,52,16,0.6255,1.174473763,0.7644
SOUTH_CHINA_SEA,36,16,0.696,0.781251371,0.7513
HUMBOLDT_CURRENT,13,16,0.6979,0.808150887,0.7465
SOMALI_COASTAL_CURRENT,31,16,0.5972,0.888139129,0.7398
GULF_OF_MEXICO,5,16,0.6026,0.965626597,0.7217
CELTIC_BISCAY_SHELF,24,16,0.6439,0.872901022,0.7153
EAST_SIBERIAN_SEA,56,15,0.4412,1.059767604,0.7119
ANTARCTICA,61,16,0.5294,1.002769232,0.6915
SULU_CELEBES_SEA,37,16,0.5792,0.748982012,0.6809
SOUTHEAST_US_CONTINENTAL_SHELF,6,16,0.5597,0.996206343,0.6402
NORTHERN_BERING_CHUKCHI_SEAS,54,16,0.4966,1.171292901,0.6312
EAST_BERING_SEA,1,16,0.4675,0.820307612,0.6292
HUDSON_BAY_COMPLEX,63,16,0.5553,0.810668826,0.6256
SOUTH_BRAZIL_SHELF,15,16,0.5491,0.745852053,0.621
WEST_BERING_SEA,53,16,0.398,0.879094362,0.621
NORTHWEST_AUSTRALIAN_SHELF,45,16,0.5632,0.699781001,0.6184
CARIBBEAN_SEA,12,16,0.5465,0.675837576,0.6144
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,16,0.3926,1.099521279,0.5984
LABRADOR_NEWFOUNDLAND,9,16,0.5494,0.723186851,0.5979
ICELAND_SHELF_AND_SEA,59,16,0.5,0.790979564,0.5875
GULF_OF_ALASKA,2,16,0.5276,0.709002614,0.5868
FAROE_PLATEAU,60,16,0.4101,0.864362955,0.5533
SEA_OF_JAPAN,50,16,0.4806,0.731715322,0.5528
BARENTS_SEA,20,16,0.4417,0.913054109,0.5413
OYASHIO_CURRENT,51,16,0.442,0.745700836,0.516
BEAUFORT_SEA,55,16,0.3462,1.198389053,0.5084
NORWEGIAN_SEA,21,16,0.4206,0.745749116,0.5045
AGULHAS_CURRENT,30,16,0.4568,0.538582385,0.4963
GREENLAND_SEA,19,16,0.3959,0.686051786,0.487
IBERIAN_COASTAL,25,16,0.4344,0.52950722,0.4794
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,16,0.3934,0.822964013,0.4727
ALEUTIAN_ISLANDS,65,16,0.3403,0.648919523,0.468
KUROSHIO_CURRENT,49,16,0.3644,0.52208668,0.4171
NEW_ZEALAND_SHELF,46,16,0.3727,0.480982631,0.4127
CENTRAL_ARCTIC,64,14,0.2267,0.817026794,0.3901
CALIFORNIA_CURRENT,3,16,0.3565,0.415561259,0.3837
SOUTHEAST_AUSTRALIAN_SHELF,42,16,0.3326,0.423766226,0.3784
WEST_CENTRAL_AUSTRALIAN_SHELF,44,16,0.3301,0.415806711,0.374
PACIFIC_WARM_POOL,99,16,0.3174,0.42135933,0.3527
EAST_BRAZIL_SHELF,16,16,0.316,0.386556178,0.3522
EAST_CENTRAL_AUSTRALIAN_SHELF,41,16,0.3056,0.375862539,0.346
MEDITERRANEAN_SEA,26,16,0.2889,0.354823321,0.308
NORTHEAST_AUSTRALIAN_SHELF,40,16,0.2792,0.32612744,0.3006
SOUTH_WEST_AUSTRALIAN_SHELF,43,16,0.2749,0.329196125,0.2991
INSULAR_PACIFIC_HAWAIIAN,10,16,0.1773,0.216721505,0.1979
